open_time,open,high,low,close,volume,close_time,quote,no_trades,base_buy,quote_buy,ignore,date
1.60488E+12,15475.1,15840,14805.54,15328.41,108976.3341,1.60497E+12,1670447936,1505441,51350.44664,787324390.8,0,11/9/2020 5:30
1.60497E+12,15328.41,15460,15072.46,15297.21,61681.91961,1.60505E+12,943615126.1,1093466,28945.76657,442891690,0,11/10/2020 5:30
1.60505E+12,15297.21,15965,15272.68,15684.24,78469.74646,1.60514E+12,1226425496,1247167,40030.00217,625865373.4,0,11/11/2020 5:30
1.60514E+12,15684.25,16340.7,15440.64,16291.86,102196.3566,1.60523E+12,1628755509,1472049,50444.97887,804204066.4,0,11/12/2020 5:30
1.60523E+12,16291.85,16480,15952.35,16320.7,75691.88101,1.60531E+12,1230358611,1208773,35301.73094,574048021.7,0,11/13/2020 5:30
1.60531E+12,16320.04,16326.99,15670,16070.45,59116.34718,1.6054E+12,944765868.6,931424,27724.7678,443001467.2,0,11/14/2020 5:30
1.6054E+12,16069.56,16180,15774.72,15957,43596.84151,1.60548E+12,696651729.7,854441,20853.27085,333239080.6,0,11/15/2020 5:30
1.60548E+12,15957,16880,15864,16713.57,81300.67592,1.60557E+12,1335728014,1202386,41370.21366,679593360.6,0,11/16/2020 5:30
1.60557E+12,16713.08,17858.82,16538,17659.38,115221.4031,1.60566E+12,1982752071,1646652,58262.0626,1003081010,0,11/17/2020 5:30
1.60566E+12,17659.38,18476.93,17214.45,17776.12,149019.7881,1.60574E+12,2663337936,2091832,73412.73628,1312369472,0,11/18/2020 5:30
1.60574E+12,17777.75,18179.8,17335.65,17802.82,93009.56101,1.60583E+12,1656794229,1513304,45376.57785,808306887,0,11/19/2020 5:30
1.60583E+12,17802.81,18815.22,17740.04,18655.67,88423.01849,1.60592E+12,1623135139,1444692,43549.51207,799574963.8,0,11/20/2020 5:30
1.60592E+12,18655.66,18965.9,18308.58,18703.8,75577.45839,1.606E+12,1413641591,1451352,36788.09469,688352207.1,0,11/21/2020 5:30
1.606E+12,18703.8,18750,17610.86,18414.43,81645.73778,1.60609E+12,1497662550,1528524,39164.42638,718709271.1,0,11/22/2020 5:30
1.60609E+12,18413.88,18766,18000,18368,82961.50609,1.60618E+12,1529064320,1629379,39611.36062,730350629.7,0,11/23/2020 5:30
1.60618E+12,18368.01,19418.97,18018,19160.01,113581.5092,1.60626E+12,2145301450,2179862,58179.20088,1098976481,0,11/24/2020 5:30
1.60626E+12,19160,19484.21,18500.27,18719.11,93266.57689,1.60635E+12,1774870796,1785408,44575.07676,848724583.3,0,11/25/2020 5:30
1.60635E+12,18718.83,18915.03,16188,17149.47,181005.2467,1.60644E+12,3127314143,2770483,84478.80913,1459155976,0,11/26/2020 5:30
1.60644E+12,17149.47,17457.62,16438.08,17139.52,85297.02479,1.60652E+12,1446670351,1572299,42507.35843,720985570.3,0,11/27/2020 5:30
1.60652E+12,17139.53,17880.49,16865.56,17719.85,64910.69997,1.60661E+12,1128061605,1209385,31785.7069,552044705.4,0,11/28/2020 5:30
1.60661E+12,17719.84,18360.05,17517,18184.99,55329.0163,1.60669E+12,996743798.9,1141289,27883.9853,502287686.1,0,11/29/2020 5:30
1.60669E+12,18185,19863.16,18184.99,19695.87,115463.4669,1.60678E+12,2205929120,1744149,61033.4149,1166943549,0,11/30/2020 5:30
1.60678E+12,19695.87,19888,18001.12,18764.96,127698.7627,1.60687E+12,2446070335,2023802,63805.3929,1223282816,0,12/1/2020 5:30
